book_title,book_price,book_url,image_url,published_date,category
The Alchemy of Finance,21.02 ,https://www.bookdepository.com/Alchemy-Finance-George-Soros/9780471445494?ref=grid-view&qid=1628102690312&sr=1-1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4714/9780471445494.jpg,15 Jul 2003,finance
How Finance Works,27.54 ,https://www.bookdepository.com/How-Finance-Works-Mihir-Desai/9781633696709?ref=grid-view&qid=1628102690312&sr=1-2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6336/9781633696709.jpg,29 Jul 2019,finance
Lords of Finance,22.44 ,https://www.bookdepository.com/Lords-Finance-Liaquat-Ahamed/9780143116806?ref=grid-view&qid=1628102690312&sr=1-3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1431/9780143116806.jpg,25 Jul 2011,finance
Stan Weinstein's Secrets For Profiting in Bull and Bear Markets,20.87 ,https://www.bookdepository.com/Stan-Weinsteins-Secrets-For-Profiting-Bull-Bear-Markets-Stan-Weinstein/9781556236839?ref=grid-view&qid=1628102690312&sr=1-4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5562/9781556236839.jpg,09 Jan 1992,finance
Corporate Finance For Dummies,21.39 ,https://www.bookdepository.com/Corporate-Finance-For-Dummies-Michael-Taillard/9781118412794?ref=grid-view&qid=1628102690312&sr=1-5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1184/9781118412794.jpg,04 Jan 2013,finance
ISE Principles of Corporate Finance,71.02 ,https://www.bookdepository.com/ISE-Principles-Corporate-Finance-Richard-Brealey/9781260565553?ref=grid-view&qid=1628102690312&sr=1-6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2605/9781260565553.jpg,01 Sep 2019,finance
HBR Guide to Finance Basics for Managers (HBR Guide Series),16.58 ,https://www.bookdepository.com/HBR-Guide-Finance-Basics-for-Managers-HBR-Guide-Series-Harvard-Business-Review/9781422187302?ref=grid-view&qid=1628102690312&sr=1-7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4221/9781422187302.jpg,22 Oct 2012,finance
Study Guide to Technical Analysis of the Financial Markets,38.80 ,https://www.bookdepository.com/Study-Guide-Technical-Analysis-Financial-Markets-John-J-Murphy/9780735200654?ref=grid-view&qid=1628102690312&sr=1-8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7352/9780735200654.jpg,01 Jan 1999,finance
The Wisdom of Finance,12.33 ,https://www.bookdepository.com/Wisdom-Finance-Mihir-Desai/9781788160056?ref=grid-view&qid=1628102690312&sr=1-9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7881/9781788160056.jpg,20 Dec 2018,finance
Finance: Theory and Practice,67.92 ,https://www.bookdepository.com/Finance-Theory-Practice-Anne-Marie-Ward/9781912350360?ref=grid-view&qid=1628102690312&sr=1-10,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9123/9781912350360.jpg,31 Aug 2020,finance
Lords of Finance,15.30 ,https://www.bookdepository.com/Lords-Finance-Liaquat-Ahamed/9781847943002?ref=grid-view&qid=1628102690312&sr=1-11,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8479/9781847943002.jpg,19 Mar 2020,finance
Mathematics for Economics and Finance,49.22 ,https://www.bookdepository.com/Mathematics-for-Economics-Finance-Martin-Anthony/9780521559133?ref=grid-view&qid=1628102690312&sr=1-12,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5215/9780521559133.jpg,25 Jul 1996,finance
"2nd Revised edition of \""Technical Analysis of the Financial Markets: A Comprehensive Guide to Trading Methods and Applications\""",72.68 ,https://www.bookdepository.com/2nd-Revised-edition-Technical-Analysis-Financial-Markets-Comprehensive-Guide-Trading-Methods-Applications-John-J-Murphy/9780735200661?ref=grid-view&qid=1628102690312&sr=1-13,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7352/9780735200661.jpg,01 Dec 1998,finance
"Corporate Finance, Global Edition",96.30 ,https://www.bookdepository.com/Corporate-Finance-Global-Edition-Jonathan-Berk/9781292160160?ref=grid-view&qid=1628102690312&sr=1-14,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2921/9781292160160.jpg,08 Nov 2016,finance
Python for Finance 2e,50.42 ,https://www.bookdepository.com/Python-for-Finance-2e-Yves-Hilpisch/9781492024330?ref=grid-view&qid=1628102690312&sr=1-15,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4920/9781492024330.jpg,15 Jan 2019,finance
Personal Finance For Dummies,18.12 ,https://www.bookdepository.com/Personal-Finance-For-Dummies-Eric-Tyson/9781119517894?ref=grid-view&qid=1628102690312&sr=1-16,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1195/9781119517894.jpg,18 Dec 2018,finance
