book_title,book_price,book_url,image_url,published_date,category
Miss Peregrine's Home for Peculiar Children,11.41 ,https://www.bookdepository.com/Miss-Peregrines-Home-for-Peculiar-Children-Ransom-Riggs/9781594746031?ref=grid-view&qid=1628090000872&sr=1-1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5947/9781594746031.jpg,04 Jun 2013,children
Harry Potter Box Set: The Complete Collection (Children's Paperback),67.11 ,https://www.bookdepository.com/Harry-Potter-Box-Set-Complete-Collection-Childrens-Paperback-J-K-Rowling/9781408856772?ref=grid-view&qid=1628090000872&sr=1-2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408856772.jpg,01 Dec 2020,children
Adult Children of Emotionally Immature Parents,15.43 ,https://www.bookdepository.com/Adult-Children-Emotionally-Immature-Parents-Lindsay-C-Gibson/9781626251700?ref=grid-view&qid=1628090000872&sr=1-3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6262/9781626251700.jpg,25 Jun 2015,children
The World's Worst Children,19.82 ,https://www.bookdepository.com/Worlds-Worst-Children-David-Walliams/9780008197049?ref=grid-view&qid=1628090000872&sr=1-4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0081/9780008197049.jpg,19 May 2016,children
The World's Worst Children,16.04 ,https://www.bookdepository.com/Worlds-Worst-Children-David-Walliams/9780008197032?ref=grid-view&qid=1628090000872&sr=1-5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0081/9780008197032.jpg,19 May 2016,children
Children of Blood and Bone,11.66 ,https://www.bookdepository.com/Children-Blood-Bone-Tomi-Adeyemi/9781509871353?ref=grid-view&qid=1628090000872&sr=1-6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509871353.jpg,08 Mar 2018,children
Five Love Languages of Children,12.55 ,https://www.bookdepository.com/Five-Love-Languages-Children-Gary-Campbell-Ross-Chapman/9780802412850?ref=grid-view&qid=1628090000872&sr=1-7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8024/9780802412850.jpg,05 Aug 2016,children
Children of Time,12.65 ,https://www.bookdepository.com/Children-Time-Adrian-Tchaikovsky/9781447273301?ref=grid-view&qid=1628090000872&sr=1-8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4472/9781447273301.jpg,10 Oct 2016,children
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),12.98 ,https://www.bookdepository.com/Book-You-Wish-Your-Parents-Had-Read-Your-Children-Will-Be-Glad-That-You-Did-Philippa-Perry/9780241251027?ref=grid-view&qid=1628090000872&sr=1-9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241251027.jpg,01 Jan 2021,children
The World's Worst Children 2,19.99 ,https://www.bookdepository.com/Worlds-Worst-Children-2-David-Walliams/9780008259679?ref=grid-view&qid=1628090000872&sr=1-10,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0082/9780008259679.jpg,14 Jun 2017,children
The Children Act,12.90 ,https://www.bookdepository.com/Children-Act-Ian-McEwan/9780099599647?ref=grid-view&qid=1628090000872&sr=1-11,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099599647.jpg,09 Apr 2015,children
Theory Made Easy For Little Children Level 1,8.20 ,https://www.bookdepository.com/Theory-Made-Easy-For-Little-Children-Level-1-Lina-Ng/9789679854442?ref=grid-view&qid=1628090000872&sr=1-12,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9789/6798/9789679854442.jpg,16 May 2003,children
Midnight's Children,14.28 ,https://www.bookdepository.com/Midnights-Children-Salman-Rushdie/9780099511892?ref=grid-view&qid=1628090000872&sr=1-13,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099511892.jpg,29 Jun 2011,children
The World's Worst Children 3,16.17 ,https://www.bookdepository.com/Worlds-Worst-Children-3-David-Walliams/9780008304591?ref=grid-view&qid=1628090000872&sr=1-14,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0083/9780008304591.jpg,01 Sep 2018,children
Miss Peregrine's Home for Peculiar Children,16.20 ,https://www.bookdepository.com/Miss-Peregrines-Home-for-Peculiar-Children-Ransom-Riggs/9781594744761?ref=grid-view&qid=1628090000872&sr=1-15,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5947/9781594744761.jpg,15 Aug 2011,children
French Children Don't Throw Food,12.10 ,https://www.bookdepository.com/French-Children-Dont-Throw-Food-Pamela-Druckerman/9780552779180?ref=grid-view&qid=1628090000872&sr=1-16,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5527/9780552779180.jpg,23 Jan 2013,children
Theory Made Easy For Little Children Level 2,8.38 ,https://www.bookdepository.com/Theory-Made-Easy-For-Little-Children-Level-2-Lina-Ng/9789679854459?ref=grid-view&qid=1628090000872&sr=1-17,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9789/6798/9789679854459.jpg,16 May 2003,children
